SG_PARTIDO,NM_PARTIDO,DS_CARGO,SG_UF,txGenFeminino,totalGenFeminino,txCorRacaPreta,totalCorRacaPreta,txCorRacaPretaParda,totalCorRacaPretaParda,txCorRacaNaoBranca,totalCorRacaNaoBranca,totalBens,avgBens,avgBensNotZero,txEstadoCivilCasado,txEstadoCivilSolteiro,txEstadoCivilSeparadoDivorciado,avgIdade,totalCandidaturas
AGIR,AGIR,GERAL,BR,0.341580098414434,2499,0.138737014762165,1015,0.597867687260798,4374,0.612083105522143,4478,2552211493.23,348853.402573811,653742.697955943,0.48141060688901,0.387916894477857,0.00669764898851832,47.2635319846911,7316
AVANTE,AVANTE,GERAL,BR,0.335856427786595,5502,0.131241606641436,2150,0.60542058356733,9918,0.623245025027469,10210,3423844788.42,209000.414382859,349800.24339906,0.481443047246978,0.396899035526798,0.00659260163594189,46.8597851300208,16382
CIDADANIA,CIDADANIA,GERAL,BR,0.364150181671377,1804,0.124949535728704,619,0.528663706096084,2619,0.547840129188535,2714,845410660.62,170652.131735971,285515.251813576,0.49232943076302,0.374646750100929,0.011707710940654,47.5353249899071,4954
DC,DEMOCRACIA CRISTÃ,GERAL,BR,0.338054099985838,2387,0.132275881603172,934,0.578954822263136,4088,0.596516074210452,4212,1390691195.92,196953.858648917,374647.412421875,0.503469763489591,0.365528961903413,0.00708114997875655,47.5482226313553,7061
MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,GERAL,BR,0.334550651000318,14749,0.0942022410742639,4153,0.492129020550742,21696,0.507167808374541,22359,24461513475681.6,554858990.964969,805370344.571456,0.526607086149798,0.351676269110375,0.00832463820714059,47.7614889080434,44086
MOBILIZA,MOBILIZAÇÃO NACIONAL,GERAL,BR,0.333180987202925,2187,0.141986593540524,932,0.600243753808653,3940,0.614868982327849,4036,962278587.68,146599.4192078,267894.929198218,0.483394271785497,0.390006093845216,0.00700792199878123,46.8281535648995,6564
NOVO,PARTIDO NOVO,GERAL,BR,0.34037465125548,2562,0.0843629600106284,635,0.44121163810283,3321,0.452371462734157,3405,2549318472.37,338689.846203002,540109.845841102,0.520791816128604,0.322439218812276,0.0126212302378105,46.2880297595323,7527
PC do B,PARTIDO COMUNISTA DO BRASIL,GERAL,BR,0.406677265500795,1279,0.210492845786963,662,0.719554848966614,2263,0.739268680445151,2325,727639220.77,231363.82218442,389737.129164435,0.406995230524642,0.487122416534181,0.00540540540540541,46.9449920508744,3145
PCB,PARTIDO COMUNISTA BRASILEIRO,GERAL,BR,0.314285714285714,11,0.342857142857143,12,0.514285714285714,18,0.542857142857143,19,7010154.02,200290.114857143,292089.750833333,0.171428571428571,0.657142857142857,0.0285714285714286,47.2285714285714,35
PCO,PARTIDO DA CAUSA OPERÁRIA,GERAL,BR,0.348837209302326,60,0.215116279069767,37,0.488372093023256,84,0.593023255813954,102,11337214.94,65914.0403488372,263656.161395349,0.174418604651163,0.709302325581395,0.0,45.5639534883721,172
PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,GERAL,BR,0.342041499625534,7764,0.117582272346799,2669,0.533283404555267,12105,0.553328340455527,12560,7385194024.1,325353.276536411,530965.131840535,0.471826952729195,0.396933785629323,0.00982422133133618,47.4438962068814,22699
PL,PARTIDO LIBERAL,GERAL,BR,0.332680470061556,11890,0.0757974258533856,2709,0.43164521544488,15427,0.443508673754896,15851,24811567356.04,694224.044656967,1001799.46518714,0.557862339115837,0.319809736989368,0.00789031897034135,47.0078063794068,35740
PMB,PARTIDO DA MULHER BRASILEIRA,GERAL,BR,0.347593582887701,1430,0.135391346621293,557,0.569275644141954,2342,0.601361205639281,2474,572441329.61,139144.708218279,279375.953094192,0.481040350024307,0.383811375789985,0.00850753524550316,47.7627613028683,4114
